設定No,進行目安,種別,地域,マップKey,階層,設定ID,表示ラベル,text,座標,表示条件・関連ID,プロパティ,source,設定パス,修正案,編集メモ
382,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,台座から伸びる古い導線は、奈落の縁で途切れている。,"(6,9)",,log,map.js,blockingObjects.22,,
383,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,台座は崩れ、紫色の欠片だけが散らばっている。,"(11,5)",,log,map.js,blockingObjects.19,,
384,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,壊れた固定具が、奈落の方を向いている。,"(5,7)",,log,map.js,blockingObjects.20,,
385,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,奈落が口を開けている。,"(7,6)",,log,map.js,blockingObjects.0,,
386,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,奈落が口を開けている。,"(8,6)",,log,map.js,blockingObjects.1,,
387,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,奈落が口を開けている。,"(9,6)",,log,map.js,blockingObjects.2,,
388,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,奈落が口を開けている。,"(7,7)",,log,map.js,blockingObjects.3,,
389,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,奈落が口を開けている。,"(9,7)",,log,map.js,blockingObjects.5,,
390,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,奈落が口を開けている。,"(7,8)",,log,map.js,blockingObjects.6,,
391,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,奈落が口を開けている。,"(8,8)",,log,map.js,blockingObjects.7,,
392,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,奈落が口を開けている。,"(9,8)",,log,map.js,blockingObjects.8,,
393,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,崩れた台座に、微かな光を失った結晶片が残っている。,"(10,9)",,log,map.js,blockingObjects.23,,
394,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,崩れた祭壇が道を塞いでいる。,"(7,4)",,log,map.js,blockingObjects.10,,
395,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,崩れた祭壇が道を塞いでいる。,"(9,4)",,log,map.js,blockingObjects.11,,
396,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,崩れた祭壇には、古い儀式の痕跡が残っている。,"(8,4)",,log,map.js,blockingObjects.9,,
397,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,折れた柱には、読めない文字が刻まれている。,"(12,10)",,log,map.js,blockingObjects.15,,
398,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,折れた柱の内部から、古い金属の導線が覗いている。,"(4,10)",,log,map.js,blockingObjects.14,,
399,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,柱の頂には、プリズムを支えた枠だけが残っている。,"(12,4)",,log,map.js,blockingObjects.13,,
400,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,空になった台座。かつて何かが載せられていたようだ。,"(5,5)",,log,map.js,blockingObjects.18,,
401,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,闇がどこまでも続いている。,"(8,7)",,log,map.js,blockingObjects.4,,
402,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,アランと対峙する,祭壇中央の亀裂の前に、光をまとったアランが立っている。,,eventId=integration_altar_alan_phase8e,log,map.js,mapActors.0.states.0.action,,
403,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,深淵の亀裂を調べる,統合の祭壇の中心で、深淵へ続く亀裂が脈打っている。,"(8,7)",requiredFlag=alanAltarResolved,log,map.js,mapActions.3,,
404,時期未確定・休眠/補助,マップログ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,1,,クロードに声をかける,クロードが、奥から漏れる闇を警戒している。,,questId=claude_leon_dark_shrine,log,map.js,mapActors.0.states.0.action,,
405,時期未確定・休眠/補助,マップログ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,1,,レオンに声をかける,レオンが、神殿跡地に残る光の痕跡を確かめている。,,questId=claude_leon_dark_shrine,log,map.js,mapActors.1.states.0.action,,
406,時期未確定・休眠/補助,移動・操作メッセージ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,1,,,影の門が開いた。,"(25,8)",,message,map.js,tileEffects.2,,
407,時期未確定・休眠/補助,移動・操作メッセージ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,1,,,影の門に呑まれた。,"(6,8)",,message,map.js,tileEffects.1,,
408,時期未確定・休眠/補助,移動・操作メッセージ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,1,shrine_shadow,,神殿の影が追ってくる！,"(23,16)",,message,map.js,tileEffects.3,,
409,時期未確定・休眠/補助,移動・操作メッセージ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,1,,,闇の霧が命を削る！,"(7,16)",,message,map.js,tileEffects.0,,
410,時期未確定・休眠/補助,調査ログ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,1,,クロードとレオンに加勢する,二つの剣閃が、闇の残滓を食い止めている。,"(15,7)",requiredFlag=lightPalaceCleared; questId=claude_leon_dark_shrine; monsterId=303206,inspectLog,map.js,bosses.0,,
411,時期未確定・休眠/補助,マップログ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,2,,祭壇の残光に触れる,崩れた祭壇に、月明かりのような冷たい闇が残っている。,"(16,22)",,log,map.js,mapActions.0,,
412,時期未確定・休眠/補助,移動・操作メッセージ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,2,,,月光の床を滑った。,"(7,10)",,message,map.js,tileEffects.0,,
413,時期未確定・休眠/補助,移動・操作メッセージ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,2,,,月影が元の祭廊へ返した。,"(25,20)",,message,map.js,tileEffects.3,,
414,時期未確定・休眠/補助,移動・操作メッセージ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,2,,,月影が左右を反転させた。,"(7,20)",,message,map.js,tileEffects.2,,
415,時期未確定・休眠/補助,移動・操作メッセージ,闇の神殿エクリプス跡,DARK_SHRINE_RUINS,2,,,月影の闇が染み込む！,"(26,10)",,message,map.js,tileEffects.1,,
416,時期未確定・休眠/補助,マップログ,頂の神殿,SUMMIT_TEMPLE,MAP000035-00,,,剣を伏せた天使像が、挑戦者の歩みを静かに見守っている。,"(10,6)",,log,map.js,blockingObjects.0,,
417,時期未確定・休眠/補助,マップログ,頂の神殿,SUMMIT_TEMPLE,MAP000035-00,,,神竜の像が翼を畳み、山頂の聖域を守っている。,"(14,6)",,log,map.js,blockingObjects.1,,
418,時期未確定・休眠/補助,マップログ,頂の神殿,SUMMIT_TEMPLE,MAP000035-00,,最終試練に挑む,祭壇が、極限に迫る者の名を静かに問うている。,"(12,3)",,log,map.js,mapActions.0,,
419,時期未確定・休眠/補助,直接App.log,,,,,システムログ,${char.name || '仲間'}の絆が深まった。,,,App.log,story_logic.js:2329,,,
420,時期未確定・休眠/補助,直接App.log,,,,,システムログ,${entry.name}を発見した！,,,App.log,main.js:3758,,,
421,時期未確定・休眠/補助,直接App.log,,,,,システムログ,${equip.name}を手に入れた！,,,App.log,story_logic.js:2466,,,
422,時期未確定・休眠/補助,直接App.log,,,,,システムログ,${master.name}は現在、仲間へ戻ることができない。,,,App.log,main.js:4883,,,
423,時期未確定・休眠/補助,直接App.log,,,,,システムログ,${names}の前に、${trialName}の門が開いた！,,,App.log,main.js:6809,,,
424,時期未確定・休眠/補助,直接App.log,,,,,システムログ,${name}は、こちらの出方を窺っている。,,,App.log,dungeon.js:1450,,,
425,時期未確定・休眠/補助,直接App.log,,,,,システムログ,${this.name}は力尽きた！,,,App.log,main.js:110,,,
426,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#80ffb0;"">依頼迷宮の討伐目標を達成した！</span>",,,App.log,dungeon.js:6874,,,
427,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#80ffb0;"">清らかな泉が湧いている。</span>",,,App.log,dungeon.js:3109,,,
428,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#80ffb0;"">清らかな泉の力で、HPとMPが全回復した！</span>",,,App.log,dungeon.js:3143,,,
429,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#80ffb0;"">物語深淵を踏破した！ 深淵の亀裂が解放されます。</span>",,,App.log,dungeon.js:7061,,,
430,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#80ffb0;"">追憶の魔境を踏破した！ 宝箱と帰還ゲートが現れた。</span>",,,App.log,dungeon.js:7023,,,
431,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#80ffb0;"">階段が現れた！</span>",,,App.log,dungeon.js:7063,,,
432,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#88ff66;"">${message}</span>",,,App.log,dungeon.js:3227,,,
433,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#c78cff;"">亀裂の根源を打ち破った！</span>",,,App.log,dungeon.js:4783,,,
434,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#c9a7ff;"">追憶の魔境へ足を踏み入れた。挑戦は1階から始まる。</span>",,,App.log,dungeon.js:672,,,
435,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ff8a5c;"">溶岩の熱でダメージを受けた！</span>",,,App.log,dungeon.js:3201,,,
436,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ff8a72;"">フロアに深淵のハンターが現れた！</span>",,,App.log,dungeon.js:4632,,,
437,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ff8b8b;"">イベント処理を中断しました。再読込すると同じ位置から再試行します。<br>${this.escapeHtml ? this.escapeHtml(message) : message}</span>",,,App.log,story_logic.js:1367,,,
438,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ff8b8b;"">会話の再開に失敗しました。再読込すると同じ位置から再試行します。</span>",,,App.log,story_logic.js:1719,,,
439,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ff9a9a;"">${label}の扉だ。同じ色の鍵が必要だ。</span>",,,App.log,dungeon.js:907,,,
440,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ffd700;"">${eq.name}を手に入れた！</span>",,,App.log,dungeon.js:4616,,,
441,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ffd700;"">${item.name}</span> を手に入れた！",,,App.log,dungeon.js:2874,,,
442,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ffd700;"">${itemName}を手に入れた！</span>",,,App.log,dungeon.js:4827,,,
443,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ffd700;"">${rewardName}を手に入れた！</span>",,,App.log,dungeon.js:5251,,,
444,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ffd78a;"">${label}の鍵で扉を開けた。</span>",,,App.log,dungeon.js:919,,,
445,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ffd78a;"">${label}の鍵は既に持っている。</span>",,,App.log,dungeon.js:841,,,
446,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ffd78a;"">${label}の鍵を守る魔物が立ちはだかった！</span>",,,App.log,dungeon.js:1058,,,
447,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ffd78a;"">${label}の鍵を手に入れた！</span>",,,App.log,dungeon.js:847,,,
448,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ffd78a;"">【${title}】${message}</span>",,,App.log,dungeon.js:144,,,
449,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"<span style=""color:#ffd78a;"">【${title}】${message}</span>",,,App.log,dungeon.js:148,,,
450,時期未確定・休眠/補助,直接App.log,,,,,システムログ,<span style='color:#88f;'>「警戒」により不意打ちを防いだ！</span>,,,App.log,main.js:9935,,,
451,時期未確定・休眠/補助,直接App.log,,,,,システムログ,<span style='color:#8f8;'>「忍び足」により先制攻撃のチャンス！</span>,,,App.log,main.js:9940,,,
452,時期未確定・休眠/補助,直接App.log,,,,,システムログ,<span style='color:#f88;'>帰還先が不安定だったため、安全な場所へ移動しました。</span>,,,App.log,dungeon.js:2358,,,
453,時期未確定・休眠/補助,直接App.log,,,,,システムログ,Goldが足りない。,,,App.log,main.js:6402,,,
454,時期未確定・休眠/補助,直接App.log,,,,,システムログ,【システム解放】${App.getFeatureUnlockLabel(key)}が利用可能になった！,,,App.log,main.js:4113,,,
455,時期未確定・休眠/補助,直接App.log,,,,,システムログ,【仲間加入】${existing.name}がパーティに加わった！,,,App.log,main.js:4936,,,
456,時期未確定・休眠/補助,直接App.log,,,,,システムログ,あたりの雰囲気が変わった気がする…,,,App.log,dungeon.js:4375,,,
457,時期未確定・休眠/補助,直接App.log,,,,,システムログ,すでに依頼迷宮を探索中だ。,,,App.log,dungeon.js:686,,,
458,時期未確定・休眠/補助,直接App.log,,,,,システムログ,そこには降りることができない！,,,App.log,main.js:4094,,,
459,時期未確定・休眠/補助,直接App.log,,,,,システムログ,なんと ${saveAlly.name}が仲間に加わった！,,,App.log,main.js:5000,,,
460,時期未確定・休眠/補助,直接App.log,,,,,システムログ,パーティは全滅した……。,,,App.log,story_logic.js:2039,,,
461,時期未確定・休眠/補助,直接App.log,,,,,システムログ,プリズムは沈黙している。,,,App.log,main.js:13008,,,
462,時期未確定・休眠/補助,直接App.log,,,,,システムログ,ボスの気配が…,,,App.log,dungeon.js:2767,,,
463,時期未確定・休眠/補助,直接App.log,,,,,システムログ,ボスの気配が立ちはだかっている。,,,App.log,dungeon.js:2631,,,
464,時期未確定・休眠/補助,直接App.log,,,,,システムログ,不思議な力で体力が回復した！,,,App.log,story_logic.js:2345,,,
465,時期未確定・休眠/補助,直接App.log,,,,,システムログ,中身を取得できなかった。宝箱はまだ開いていない。,,,App.log,dungeon.js:2867,,,
466,時期未確定・休眠/補助,直接App.log,,,,,システムログ,亀裂の根源を打ち破った！<br>根源が消滅し、その跡から輝く装備を見つけた！！<br>${itemName}を手に入れた！,,,App.log,dungeon.js:4825,,,
467,時期未確定・休眠/補助,直接App.log,,,,,システムログ,依頼迷宮から撤退した。依頼は再挑戦できる。,,,App.log,dungeon.js:2409,,,
468,時期未確定・休眠/補助,直接App.log,,,,,システムログ,依頼迷宮の出口が開いた。,,,App.log,dungeon.js:2033,,,
469,時期未確定・休眠/補助,直接App.log,,,,,システムログ,依頼迷宮を攻略し、帰還した。,,,App.log,dungeon.js:2407,,,
470,時期未確定・休眠/補助,直接App.log,,,,,システムログ,光の翼で空へ舞い上がった！,,,App.log,main.js:4086,,,
471,時期未確定・休眠/補助,直接App.log,,,,,システムログ,冒険を開始します。,,,App.log,main.js:3153,,,
472,時期未確定・休眠/補助,直接App.log,,,,,システムログ,冒険者がこちらに気づいた。,,,App.log,main.js:12568,,,
473,時期未確定・休眠/補助,直接App.log,,,,,システムログ,冒険者が立っている。,,,App.log,main.js:13710,,,
474,時期未確定・休眠/補助,直接App.log,,,,,システムログ,命からがら逃げ出した……,,,App.log,dungeon.js:2405,,,
475,時期未確定・休眠/補助,直接App.log,,,,,システムログ,噴水の水面は静かだ。今日の祈りは、もう届いている。,,,App.log,main.js:6366,,,
476,時期未確定・休眠/補助,直接App.log,,,,,システムログ,噴水の水面は静かだ。今日の祈りは、もう届いている。,,,App.log,main.js:6403,,,
477,時期未確定・休眠/補助,直接App.log,,,,,システムログ,噴水へ捧げるには ${cost.toLocaleString()} Gold 必要だ。,,,App.log,main.js:6371,,,
478,時期未確定・休眠/補助,直接App.log,,,,,システムログ,地下 ${Dungeon.floor} 階の冒険を再開します。,,,App.log,main.js:3159,,,
479,時期未確定・休眠/補助,直接App.log,,,,,システムログ,地下 ${Dungeon.floor} 階ボス撃破！ボスの気配が消えた...,,,App.log,dungeon.js:6888,,,
480,時期未確定・休眠/補助,直接App.log,,,,,システムログ,地面に降り立った。,,,App.log,main.js:4099,,,
481,時期未確定・休眠/補助,直接App.log,,,,,システムログ,天使の羽が黒く染まった。,,,App.log,dungeon.js:3659,,,
482,時期未確定・休眠/補助,直接App.log,,,,,システムログ,天使は静かに目を伏せた。,,,App.log,dungeon.js:3636,,,
483,時期未確定・休眠/補助,直接App.log,,,,,システムログ,宝箱の中で何かが蠢いたが、姿を現さなかった…。,,,App.log,dungeon.js:1096,,,
484,時期未確定・休眠/補助,直接App.log,,,,,システムログ,宝箱を開けた！<br>${msg} を手に入れた！,,,App.log,dungeon.js:3052,,,
485,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"宝箱を開けた！<br><span style=""color:#ff8a72;font-weight:bold;"">${monster.name}</span> が襲いかかってきた！",,,App.log,dungeon.js:1107,,,
486,時期未確定・休眠/補助,直接App.log,,,,,システムログ,"宝箱を開けた！<br>なんと <span style=""color:${isUltraItem ? '#ff5b7f' : '#ffff00'}; font-weight:${isUltraItem ? 'bold' : 'normal'};""> ${it.name} </span>を手に入れた！",,,App.log,dungeon.js:2991,,,
487,時期未確定・休眠/補助,直接App.log,,,,,システムログ,宝箱を開けた！<br>中身は空だった…。,,,App.log,dungeon.js:2988,,,
488,時期未確定・休眠/補助,直接App.log,,,,,システムログ,宝箱を開けた！<br>中身は空だった…。,,,App.log,dungeon.js:3035,,,
489,時期未確定・休眠/補助,直接App.log,,,,,システムログ,小舟を降りた。,,,App.log,main.js:13923,,,
490,時期未確定・休眠/補助,直接App.log,,,,,システムログ,属性が不均質に混ざり合っている…,,,App.log,main.js:10924,,,
491,時期未確定・休眠/補助,直接App.log,,,,,システムログ,建物に遮られて進めない。,,,App.log,main.js:13750,,,
492,時期未確定・休眠/補助,直接App.log,,,,,システムログ,戦えるメンバーがいません！,,,App.log,battle.js:2577,,,
493,時期未確定・休眠/補助,直接App.log,,,,,システムログ,戦闘に復帰します...,,,App.log,main.js:3150,,,
494,時期未確定・休眠/補助,直接App.log,,,,,システムログ,敵だ！,,,App.log,main.js:10129,,,
495,時期未確定・休眠/補助,直接App.log,,,,,システムログ,最奥のゲートから地上へ戻ってください。,,,App.log,dungeon.js:2018,,,
496,時期未確定・休眠/補助,直接App.log,,,,,システムログ,海は船がないと渡れない…,,,App.log,main.js:13917,,,
497,時期未確定・休眠/補助,直接App.log,,,,,システムログ,物語深淵は100階で踏破済みです。メニューから帰還し、深淵の亀裂へ挑戦してください。,,,App.log,dungeon.js:2023,,,
498,時期未確定・休眠/補助,直接App.log,,,,,システムログ,祈りは届かなかった。少ししてから、もう一度試してみよう。,,,App.log,main.js:6404,,,
499,時期未確定・休眠/補助,直接App.log,,,,,システムログ,終焉の祭壇の亀裂は、まだ見つかっていない。,,,App.log,dungeon.js:577,,,
500,時期未確定・休眠/補助,直接App.log,,,,,システムログ,終焉の祭壇の亀裂は、まだ見つかっていない。,,,App.log,dungeon.js:592,,,
501,時期未確定・休眠/補助,直接App.log,,,,,システムログ,終焉の祭壇の亀裂は、まだ見つかっていない。,,,App.log,dungeon.js:613,,,
502,時期未確定・休眠/補助,直接App.log,,,,,システムログ,統合の祭壇へ続く道は、奈落側からの侵食で寸断されている。,,,App.log,main.js:10933,,,
503,時期未確定・休眠/補助,直接App.log,,,,,システムログ,試練の気配は静まっている。${requiredText}に到達した仲間をパーティに入れる必要がありそうだ。,,,App.log,main.js:6792,,,
504,時期未確定・休眠/補助,直接App.log,,,,,システムログ,試練への挑戦を見送った。,,,App.log,main.js:6802,,,
505,時期未確定・休眠/補助,直接App.log,,,,,システムログ,足元を調べた。しかし、何も見つからなかった,,,App.log,main.js:7047,,,
506,時期未確定・休眠/補助,直接App.log,,,,,システムログ,闇がどこまでも続いているような亀裂を見つけた・・・,,,App.log,dungeon.js:4668,,,
507,時期未確定・休眠/補助,直接App.log,,,,,システムログ,階段がある。,,,App.log,dungeon.js:2750,,,
508,時期未確定・休眠/補助,直接App.log,,,,,システムログ,雷の要塞の東門は、内側から雷の結界で閉ざされている。西門側から制御炉を止めれば開きそうだ。,,,App.log,main.js:13422,,,
509,時期未確定・休眠/補助,直接App.log,,,,,システムログ,魔法の小舟で海へ漕ぎ出した。,,,App.log,main.js:13918,,,
